iter	Passed	Remaining
0	2848	8354119
1	5929	8692474
2	7136	6972076
3	7840	5743119
4	8546	5006460
5	9230	4504417
6	11187	4677921
7	11811	4320003
8	13208	4292798
9	13353	3904659
10	15424	4098777
11	17729	4317167
112	25725	9510359113	28085	9639477114	30396	9735139115	32668	9806558
16	35277	9964957
17	37755	10070246
18	39977	10099682
19	41331	9917537
20	43869	10023137
21	46169	10067012
22	48568	10127680
23	51150	10219450
24	53388	10237781
25	56107	10343256
26	58549	10391425
27	61001	10437796
28	62449	10314953
29	64963	10370341
30	67200	10379291
31	68349	10224589
32	70105	10167412
33	72442	10195221
34	74696	10209931
35	77001	10230492
36	79401	10262090
37	81786	10289998
38	84185	10318125
39	85044	10160712
40	86624	10094967
41	88928	10114513
42	91383	10149913
43	93786	10177956
44	96314	10217915
45	98765	10247987
46	101012	10256027
47	103889	10326180
48	107732	10487443
49	110238	10514554
50	110711	10350459
51	112920	10351792
52	115395	10376929
53	117881	10401929
54	120316	10421639
55	122869	10450468
56	124757	10422710
57	127153	10437556
58	129788	10471091
59	132522	10511253
60	133186	10388554
61	135418	10390130
62	136323	10291339
63	137064	10183471
64	140035	10241974
65	143755	10352577
66	146275	10374668
67	147493	10305050
68	149945	10322334
69	150543	10213291
70	154016	10299603
71	157631	10392726
72	160373	10426471
73	162714	10433525
74	165310	10456454
75	167990	10483945
76	170463	10497923
77	172859	10506767
78	175535	10532152
79	178833	10593639
80	181302	10605095
81	184054	10632540
82	186705	10653488
83	188878	10646874
84	191245	10651249
85	193696	10660079
86	196005	10660897
87	198572	10675537
88	201059	10685524
89	203879	10712749
90	207683	10790437
91	211181	10850575
92	217364	11045871
93	224117	11265458
94	228795	11377144
95	232850	11455739
96	237366	11555119
97	242401	11677298
98	246565	11755447
99	250134	11803838
100	254049	11867369
101	258050	11933557
102	261801	11986935
103	264790	12004706
104	267565	12012407
105	270253	12016070
106	272941	12019649
107	275596	12021615
108	278118	12017791
109	280748	12018596
110	283470	12023241
111	285943	12017291
112	288527	12016040
113	290802	12001994
114	293203	11993290
115	295560	11982958
116	298178	11983213
117	300824	11984553
118	303262	11977579
119	305813	11975135
120	308388	11973643
121	311001	11973556
122	313305	11961639
123	315783	11956481
124	318186	11948555
125	320874	11951297
126	323511	11952093
127	325915	11944276
128	329332	11973409
129	333655	12034696
130	337161	12065747
131	339680	12061233
132	342298	12060228
133	344708	12051924
134	347000	12039624
135	349361	12029850
136	352286	12039444
137	354728	12032503
138	357046	12021438
139	359627	12019254
140	362188	12016443
141	364934	12019724
142	367222	12007904
143	370266	12020790
144	373136	12027849
145	375555	12020337
146	378241	12021397
147	380803	12018471
148	383545	12021197
149	386043	12016245
150	388941	12023698
151	391621	12024318
152	394009	12015997
153	396853	12021571
154	399344	12016396
155	402004	12016339
156	404702	12017344
157	407615	12024660
158	410981	12045111
159	413823	12050024
160	417068	12066483
161	419570	12061369
162	421901	12051358
163	424085	12037313
164	426554	12031419
165	428688	12016177
166	430831	12001370
167	433566	12003084
168	436001	11996486
169	438592	11994222
170	440953	11985687
171	443398	11979506
172	445952	11976278
173	448449	11971539
174	452013	11995146
175	454775	11997299
176	458018	12011997
177	460841	12015538
178	463791	12022296
179	466794	12030319
180	469446	12029254
181	472054	12027018
182	474965	12032466
183	478405	12051141
184	481094	12050768
185	483635	12046675
186	486184	12042805
187	488509	12033442
188	491123	12031223
189	493607	12025828
190	496125	12021304
191	498656	12017094
192	500865	12005208
193	503127	11994665
194	505930	11997037
195	508306	11989281
196	511005	11989164
197	513608	11986800
198	516128	11982476
199	518494	11974630
200	520987	11969751
201	523460	11964442
202	525822	11956640
203	528275	11950948
204	530492	11939969
205	533128	11938458
206	535729	11936148
207	538207	11931122
208	540861	11929998
209	543764	11934338
210	546273	11929983
211	548943	11929172
212	551277	11921042
213	553836	11917835
214	556231	11911116
215	558534	11902473
216	560747	11891985
217	563014	11882708
218	565523	11878574
219	568024	11874300
220	570251	11864326
221	573158	11868504
222	575577	11862585
223	578212	11861101
224	580950	11861714
225	583355	11855530
226	586197	11858240
227	588939	11858866
228	591445	11854731
229	593896	11849525
230	596589	11849152
231	598868	11840564
232	601389	11836799
233	603999	11834771
234	606490	11830431
235	608787	11822342
236	611096	11814522
237	613737	11813155
238	616510	11814309
239	619088	11811697
240	621793	11811504
241	624511	11811530
242	626940	11806087
243	629420	11801638
244	631976	11798623
245	634307	11791413
246	636627	11784051
247	639537	11787601
248	642460	11791340
249	644925	11786650
250	647568	11785230
251	650074	11781306
252	652418	11774479
253	654640	11765488
254	657013	11759245
255	659286	11751269
256	662081	11752585
257	664534	11747838
258	666888	11741351
259	669210	11734342
260	671564	11727935
261	673879	11720876
262	676240	11714650
263	678546	11707491
264	681087	11704418
265	683477	11698763
266	686118	11697425
267	688783	11696460
268	691006	11688021
269	693340	11681497
270	696726	11692672
271	700219	11705501
272	702873	11704254
273	705338	11699871
274	707893	11696971
275	710254	11690890
276	712619	11684901
277	715072	11680371
278	717470	11674973
279	719970	11671228
280	722663	11670627
281	724969	11663780
282	727382	11658679
283	729519	11649188
284	732148	11647590
285	734515	11641816
286	736866	11635808
287	739072	11627562
288	741393	11621143
289	743864	11617110
290	746115	11609655
291	748492	11604200
292	750952	11600045
293	753489	11597082
294	755826	11591050
295	758583	11591469
296	761067	11587697
297	763490	11583016
298	766008	11579800
299	768435	11575201
300	771093	11574090
301	773672	11571786
302	776139	11567809
303	779169	11572204
304	781496	11566145
305	783716	11558542
306	786367	11557296
307	789016	11556013
308	791583	11553527
309	794337	11553760
310	796785	11549547
311	799398	11547714
312	801902	11544328
313	804496	11542221
314	806908	11537506
315	809553	11536133
316	812027	11532325
317	814777	11532432
318	817148	11527172
319	819490	11521526
320	822010	11518387
321	824542	11515422
322	826993	11511342
323	829476	11507712
324	832248	11508074
325	834768	11504947
326	837507	11504842
327	839809	11498734
328	842596	11499271
329	845138	11496449
330	847726	11494248
331	850075	11488816
332	852562	11485270
333	855718	11490714
334	857938	11483576
335	860663	11483196
336	864049	11491597
337	867443	11500038
338	871520	11517438
339	875207	11529577
340	879189	11545487
341	883019	11559293
342	886816	11572563
343	890030	11578158
344	894487	11599822
345	898635	11617332
346	902324	11628801
347	905138	11628943
348	908232	11632656
